1,0,0,0,0,0,0,Adv S Verb O1 O2 ,0,0,0,0,0,0
0,0,1,0,0,0,0,Never Verb O1 ,0,0,0,0,0,0
0,0,0,0,0,0,1,O3[+WH] Aux S Never Verb O1 P ,0,0,0,1,0,0
0,1,0,0,0,0,1,S[+WH] Aux Verb P O3 ,0,1,0,0,0,0
0,1,0,0,0,0,1,O2[+WH] Aux S Never Verb O1 P O3 ,0,0,0,0,0,0
0,0,0,1,0,0,0,Aux S Verb ,0,1,0,0,0,0
0,1,0,0,0,0,0,S Aux Not Verb O1 P O3 Adv ,0,0,0,0,0,0
0,0,0,0,0,0,0,Adv S Verb ,0,0,0,0,0,0
0,0,0,0,0,0,0,O3 S Aux Verb P Adv ,0,1,0,1,0,0
1,0,0,0,1,1,0,O3 S Aux Not Verb O1 O2 P Adv ,0,0,0,1,0,0
1,0,0,0,0,0,0,O2 S Aux Not Verb O1 ,1,0,0,0,0,0
1,1,0,0,1,0,0,O2 S Aux Verb O1 P O3 ,1,0,0,0,0,0
0,0,0,0,0,0,1,Adv[+WH] Aux S Verb O1 O2 ,0,0,0,0,0,0
0,1,0,0,0,0,1,O2[+WH] Aux S Not Verb O1 P O3 Adv ,0,0,0,0,0,0
0,1,0,0,0,0,1,O1[+WH] Aux S Never Verb P O3 Adv ,0,0,0,0,0,0
1,0,0,0,0,0,0,O3 S Verb O1 P Adv ,0,0,0,1,0,0
0,0,0,0,0,0,1,O3[+WH] Aux S Not Verb P ,0,1,0,1,0,0
0,1,0,0,0,0,0,O1 S Aux Not Verb O2 P O3 ,1,0,0,0,0,0
1,0,0,0,1,0,0,O3 S Verb O1 O2 P ,0,0,0,1,0,0
0,1,0,0,0,0,0,Never Verb O1 O2 P O3 Adv ,0,0,0,0,0,0
0,0,0,0,0,0,0,O1 S Aux Verb ,0,0,0,0,0,0
0,0,0,0,0,0,0,S Aux Not Verb O1 O2 ,0,0,0,0,0,0
0,1,0,0,0,0,0,S Aux Never Verb P O3 Adv ,0,1,0,0,0,1
0,1,0,1,0,0,0,Aux S Verb O1 P O3 Adv ,0,0,0,0,0,0
0,1,0,0,0,0,0,Not Verb O1 P O3 ,0,0,0,0,0,0
0,0,0,0,0,0,0,Adv S Aux Not Verb ,0,1,0,0,0,0
0,0,0,0,0,0,0,Never Verb Adv ,0,0,0,0,0,0
0,1,0,0,0,0,1,S[+WH] Aux Verb O1 O2 P O3 ,0,0,0,0,0,0
0,0,0,0,0,0,1,O3[+WH] Aux S Verb O1 O2 P Adv ,0,0,0,1,0,0
